case_id,customer_id,region,industry,customer_tier,pump_model,model_family,complexity_class,pump_age_years,operating_hours,prior_repairs_count,error_code,failure_type,severity,priority,warranty_flag,technician_id,technician_experience_years,critical_part_id,critical_part_supplier_id,parts_from_hq_flag,maintenance_kit_applied,maintenance_kit_type,maintenance_kit_threshold_hours,intake_date,received_date,diagnosis_date,repair_start_date,repair_end_date,qa_date,shipped_back_date,waiting_for_parts_days,queue_days,active_repair_days,rework_count,rework_days,qa_duration_days,repair_duration_days,qa_failed_flag,parts_cost_eur,labor_hours
RMA9500015,CUST10098,APAC,Semiconductor,Standard,G100D,G,Medium,8.98,9324,0,LEAK_01,Seal/Leak,medium,Normal,0,TECH215,8.0,G100D_ADD_BEARING_SET_G_SERIES,SUP301,1,0,,8000,2025-03-01,2025-03-04,2025-03-05,2025-03-07,2025-03-12,2025-03-13,2025-03-11,4,0,5.02,0,0.0,0.97,7.1,0,631.48,37.28
RMA9500016,CUST10103,EMEA,Pharma,Key Account,G100D,G,Medium,2.26,6545,1,PM_SCHED,Preventive maintenance,low,Normal,0,TECH214,4.0,G100D_KIT_O_RING_P_8,SUP301,1,1,PMKIT_G100D,8000,2025-12-22,2025-12-23,2025-12-25,2025-12-26,2025-12-28,2025-12-29,2025-12-25,1,4,2.13,0,0.0,1.1,2.82,0,1958.51,12.29
RMA9500017,CUST10271,DACH,Pharma,Standard,LD50,LD,Low,8.9,10949,2,PM_SCHED,Preventive maintenance,low,Normal,0,TECH211,10.0,LD50_KIT_O_RING_S_24,SUP301,1,1,PMKIT_LD50,9500,2024-05-16,2024-05-20,2024-05-22,2024-05-23,2024-05-25,2024-05-25,2024-05-24,4,0,2.01,0,0.0,0.6,4.02,0,534.8,13.14
RMA9500018,CUST10316,EMEA,Vacuum Coating,Standard,G100D,G,Medium,8.55,6122,2,PM_SCHED,Preventive maintenance,low,Normal,0,TECH204,12.0,G100D_ADD_CORROSION_SEAL_SET_G_SERIES,SUP309,1,1,PMKIT_G100D,8000,2024-05-12,2024-05-13,2024-05-16,2024-05-17,2024-05-19,2024-05-20,2024-05-16,3,2,2.02,0,0.0,1.03,3.49,0,2415.52,13.81
RMA9500019,CUST10207,APAC,Vacuum Coating,Standard,T1200,T,High,3.34,1495,4,LEAK_01,Seal/Leak,medium,Normal,0,TECH202,4.0,T1200_ADD_PRESSURE_SENSOR_T_SERIES_SPARE,SUP301,1,0,,6500,2025-12-21,2025-12-22,2025-12-24,2025-12-25,2026-01-02,2026-01-03,2026-01-05,1,0,7.74,0,0.0,0.64,14.95,0,327.54,52.55
RMA9500020,CUST10013,DACH,Vacuum Coating,Standard,G200D,G,Medium,6.13,8082,1,PM_SCHED,Preventive maintenance,low,Normal,0,TECH212,11.0,G200D_ADD_FILTER_ELEMENT_G_SERIES,SUP310,1,1,PMKIT_G200D,9000,2024-10-12,2024-10-16,2024-10-18,2024-10-19,2024-10-21,2024-10-22,2024-10-20,4,2,2.13,0,0.0,1.39,4.2,0,1960.11,11.89
RMA9500021,CUST10057,DACH,Automotive,Standard,R300,R,Medium,5.58,6478,3,PM_SCHED,Preventive maintenance,low,Normal,0,TECH216,5.0,R300_ADD_VIBRATION_DAMPER_R_SERIES,SUP308,1,1,PMKIT_R300,7000,2025-06-09,2025-06-12,2025-06-13,2025-06-15,2025-06-17,2025-06-19,2025-06-15,1,4,2.05,0,0.0,1.39,3.47,0,2768.77,12.96
RMA9500022,CUST10287,APAC,Semiconductor,Standard,G200D,G,Medium,4.07,12935,1,VIB_02,Vibration,high,High,0,TECH219,4.0,G200D_ADD_BEARING_SET_G_SERIES,SUP300,0,0,,9000,2024-09-27,2024-09-30,2024-10-03,2024-10-04,2024-10-11,2024-10-12,2024-10-10,2,1,7.32,0,0.0,0.73,10.43,0,569.63,43.97
RMA9500023,CUST10281,DACH,Vacuum Coating,Key Account,LD50,LD,Low,4.03,12550,2,VIB_02,Vibration,high,High,0,TECH206,7.0,LD50_ADD_SEAL_SET_LD_SERIES,SUP301,1,0,,9500,2025-04-01,2025-04-03,2025-04-06,2025-04-07,2025-04-15,2025-04-16,2025-04-12,3,1,7.92,0,0.0,0.88,9.83,0,308.26,49.69
RMA9500024,CUST10158,EMEA,Semiconductor,Standard,R600,R,High,2.04,6532,0,PM_SCHED,Preventive maintenance,low,Normal,0,TECH220,4.0,R600_KIT_NO_1_VANE_62X155XT6,SUP301,1,1,PMKIT_R600,8000,2024-11-01,2024-11-02,2024-11-03,2024-11-05,2024-11-08,2024-11-09,2024-11-04,3,1,3.04,0,0.0,1.29,2.99,0,2132.65,16.81
RMA9500025,CUST10240,DACH,R&D,Standard,G400D,G,High,1.82,12240,0,PM_SCHED,Preventive maintenance,low,Normal,0,TECH218,6.0,G400D_KIT_O_RING_S_24,SUP301,1,1,PMKIT_G400D,10000,2025-07-20,2025-07-22,2025-07-23,2025-07-23,2025-07-26,2025-07-27,2025-07-25,2,4,2.47,0,0.0,1.32,3.23,0,1932.21,17.25
RMA9500026,CUST10059,DACH,Semiconductor,Standard,G200D,G,Medium,2.57,8114,2,PM_SCHED,Preventive maintenance,low,Normal,0,TECH208,7.0,G200D_KIT_O_RING_S_55,SUP301,1,1,PMKIT_G200D,9000,2024-04-05,2024-04-08,2024-04-10,2024-04-12,2024-04-14,2024-04-15,2024-04-10,2,0,1.95,0,0.0,1.36,2.8,0,1915.55,14.36
RMA9500027,CUST10317,DACH,Aerospace,Key Account,G400D,G,High,6.2,1068,0,LEAK_01,Seal/Leak,medium,Normal,0,TECH215,8.0,G400D_ADD_FILTER_ELEMENT_G_SERIES,SUP302,0,0,,10000,2026-01-13,2026-01-14,2026-01-16,2026-01-16,2026-01-23,2026-01-23,2026-01-19,0,4,6.41,0,0.0,0.61,5.4,0,585.04,38.65
RMA9500028,CUST10065,EMEA,Aerospace,Standard,G200D,G,Medium,5.49,3777,3,LEAK_01,Seal/Leak,medium,Normal,0,TECH209,6.0,G200D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES,SUP311,0,0,,9000,2025-05-12,2025-05-14,2025-05-17,2025-05-17,2025-05-24,2025-05-25,2025-05-15,0,3,5.21,1,1.03,1.14,1.0,0,384.44,32.3
RMA9500029,CUST10151,DACH,Automotive,Key Account,LD50,LD,Low,9.41,6045,0,TEMP_03,Overheating,high,High,0,TECH218,6.0,LD50_ADD_BEARING_SET_LD_SERIES,SUP301,1,0,,9500,2024-02-25,2024-02-28,2024-03-01,2024-03-02,2024-03-11,2024-03-12,2024-03-14,5,3,7.29,1,1.31,1.14,15.82,0,308.26,53.47
RMA9500030,CUST10069,US,R&D,Standard,G100D,G,Medium,1.41,7775,3,LEAK_01,Seal/Leak,medium,Normal,0,TECH223,7.0,G100D_ADD_CORROSION_SEAL_SET_G_SERIES,SUP309,1,0,,8000,2025-01-07,2025-01-10,2025-01-11,2025-01-12,2025-01-19,2025-01-20,2025-01-20,1,2,6.61,0,0.0,0.8,10.09,0,555.5,45.2
RMA9500031,CUST10149,DACH,Pharma,Standard,G100D,G,Medium,6.47,8883,2,LEAK_01,Seal/Leak,medium,Normal,0,TECH206,7.0,G100D_ADD_INLET_VALVE_PLATE_G_SERIES,SUP301,1,0,,8000,2025-07-26,2025-07-29,2025-07-31,2025-08-02,2025-08-07,2025-08-08,2025-08-09,5,2,5.0,0,0.0,1.11,11.19,0,586.63,36.61
RMA9500032,CUST10197,EMEA,Semiconductor,Standard,LD50,LD,Low,1.01,10537,4,PM_SCHED,Preventive maintenance,low,Normal,0,TECH226,4.0,LD50_KIT_OIL_SEAL_SC_17_30_7,SUP301,1,1,PMKIT_LD50,9500,2024-03-29,2024-03-31,2024-04-01,2024-04-01,2024-04-03,2024-04-04,2024-04-03,5,2,2.03,0,0.0,1.08,3.1,0,534.8,12.33
RMA9500033,CUST10084,EMEA,Pharma,Standard,G200D,G,Medium,1.57,10607,3,PM_SCHED,Preventive maintenance,low,Normal,0,TECH217,4.0,G200D_KIT_O_RING_S_55,SUP301,1,1,PMKIT_G200D,9000,2025-12-01,2025-12-04,2025-12-06,2025-12-06,2025-12-08,2025-12-09,2025-12-06,2,2,2.45,0,0.0,0.72,2.73,0,1915.55,16.7
RMA9500034,CUST10228,APAC,Automotive,Standard,R600,R,High,5.56,2778,1,VIB_02,Vibration,high,High,0,TECH208,7.0,R600_ADD_BEARING_SET_R_SERIES,SUP301,1,0,,8000,2025-05-22,2025-05-24,2025-05-27,2025-05-29,2025-06-09,2025-06-09,2025-06-03,5,4,10.56,0,0.0,0.8,10.89,0,403.79,68.97
RMA9500035,CUST10284,EMEA,Vacuum Coating,Standard,G200D,G,Medium,5.45,8399,4,PM_SCHED,Preventive maintenance,low,Normal,0,TECH206,7.0,G200D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES,SUP311,1,1,PMKIT_G200D,9000,2024-03-12,2024-03-15,2024-03-16,2024-03-18,2024-03-20,2024-03-21,2024-03-18,0,4,2.07,0,0.0,1.0,3.06,0,2299.99,12.62
RMA9500036,CUST10277,DACH,Semiconductor,Standard,G100D,G,Medium,5.89,1533,3,LEAK_01,Seal/Leak,medium,Normal,0,TECH223,7.0,G100D_ADD_CORROSION_SEAL_SET_G_SERIES,SUP309,1,0,,8000,2025-07-26,2025-07-29,2025-07-31,2025-08-01,2025-08-07,2025-08-08,2025-08-03,2,1,6.51,0,0.0,0.69,5.13,1,555.5,41.03
RMA9500037,CUST10186,DACH,Semiconductor,Standard,T1200,T,High,6.08,9875,2,VIB_02,Vibration,high,High,0,TECH204,12.0,T1200_ADD_CORROSION_SEAL_SET_T_SERIES,SUP312,1,0,,6500,2025-02-02,2025-02-04,2025-02-06,2025-02-07,2025-02-16,2025-02-17,2025-02-13,2,0,9.31,0,0.0,1.23,9.82,1,509.49,66.71
RMA9500038,CUST10234,DACH,Vacuum Coating,Standard,LD50,LD,Low,9.23,7538,2,LEAK_01,Seal/Leak,medium,Normal,0,TECH206,7.0,LD50_ADD_SEAL_SET_LD_SERIES,SUP301,1,0,,9500,2025-02-19,2025-02-20,2025-02-22,2025-02-22,2025-02-26,2025-02-27,2025-03-01,0,3,4.44,0,0.0,1.28,9.89,0,308.26,26.55
RMA9500039,CUST10009,US,R&D,Standard,G200D,G,Medium,7.93,11313,0,LEAK_01,Seal/Leak,medium,Normal,0,TECH211,10.0,G200D_ADD_BEARING_SET_G_SERIES,SUP300,0,0,,9000,2025-02-28,2025-03-01,2025-03-04,2025-03-04,2025-03-10,2025-03-11,2025-03-17,0,3,5.65,0,0.0,1.17,16.32,0,349.88,40.61
RMA9500040,CUST10287,APAC,Semiconductor,Standard,G200D,G,Medium,1.27,2116,4,TEMP_03,Overheating,high,High,0,TECH216,5.0,G200D_ADD_CORROSION_SEAL_SET_G_SERIES,SUP305,0,0,,9000,2024-03-28,2024-03-29,2024-03-30,2024-04-01,2024-04-11,2024-04-12,2024-04-13,2,2,9.51,0,0.0,1.23,15.42,0,614.19,70.94
RMA9500041,CUST10279,APAC,Pharma,Strategic,G100D,G,Medium,6.63,1425,2,CTRL_04,Control electronics,medium,Normal,0,TECH213,4.0,G100D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES,SUP300,1,0,,8000,2024-06-29,2024-07-01,2024-07-02,2024-07-04,2024-07-10,2024-07-11,2024-07-21,4,1,5.41,0,0.0,1.23,20.62,0,359.7,33.15
RMA9500042,CUST10015,US,Pharma,Key Account,G100D,G,Medium,6.24,7160,3,PM_SCHED,Preventive maintenance,low,Normal,0,TECH205,6.0,G100D_KIT_NO_1_VANE_62X155XT6,SUP301,1,1,PMKIT_G100D,8000,2025-09-30,2025-10-01,2025-10-02,2025-10-03,2025-10-06,2025-10-07,2025-10-04,5,0,2.21,0,0.0,1.31,3.58,0,1958.51,13.84
RMA9500043,CUST10253,US,R&D,Standard,T800,T,High,9.18,7782,0,LEAK_01,Seal/Leak,medium,Normal,0,TECH219,4.0,T800_ADD_ROTOR_BALANCING_WASHER_T_SERIES,SUP301,1,0,,6000,2024-08-25,2024-08-26,2024-08-27,2024-08-28,2024-09-05,2024-09-05,2024-09-02,4,4,7.2,0,0.0,0.6,7.52,0,352.6,52.14
RMA9500044,CUST10157,DACH,R&D,Key Account,G200D,G,Medium,5.6,4773,4,TEMP_03,Overheating,high,High,1,TECH216,5.0,G200D_ADD_INLET_VALVE_PLATE_G_SERIES,SUP307,0,0,,9000,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-14,2024-05-15,2024-05-19,1,1,7.54,0,0.0,1.01,14.97,0,525.28,46.66
RMA9500045,CUST10015,US,Pharma,Key Account,LD50,LD,Low,9.03,10471,3,PM_SCHED,Preventive maintenance,low,Normal,0,TECH226,4.0,LD50_KIT_OIL_SEAL_HTC_17_40_9,SUP301,1,1,PMKIT_LD50,9500,2025-11-27,2025-11-29,2025-11-30,2025-12-01,2025-12-03,2025-12-04,2025-12-02,0,4,1.72,0,0.0,0.68,3.62,0,534.8,11.13
RMA9500046,CUST10281,DACH,Vacuum Coating,Key Account,G200D,G,Medium,1.5,8149,4,PM_SCHED,Preventive maintenance,low,Normal,0,TECH206,7.0,G200D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES,SUP311,1,1,PMKIT_G200D,9000,2026-01-30,2026-02-02,2026-02-04,2026-02-04,2026-02-06,2026-02-08,2026-02-04,0,2,2.5,0,0.0,1.38,2.97,0,2299.99,14.0
RMA9500047,CUST10053,DACH,Semiconductor,Key Account,R300,R,Medium,0.98,1590,2,CONT_05,Contamination,medium,Normal,0,TECH222,4.0,R300_ADD_OIL_MIST_FILTER_R_SERIES,SUP305,1,0,,7000,2025-07-12,2025-07-13,2025-07-16,2025-07-17,2025-07-22,2025-07-23,2025-08-10,4,4,5.7,0,0.0,0.61,28.52,0,600.06,34.45
RMA9500048,CUST10294,APAC,Vacuum Coating,Standard,T800,T,High,6.84,4189,0,PM_SCHED,Preventive maintenance,low,Normal,0,TECH207,5.0,T800_ADD_PRESSURE_SENSOR_T_SERIES_SPARE,SUP301,1,1,PMKIT_T800,6000,2025-01-05,2025-01-07,2025-01-10,2025-01-10,2025-01-13,2025-01-14,2025-01-10,0,3,3.13,0,0.0,0.95,3.82,0,1514.16,19.9
RMA9500049,CUST10053,DACH,Semiconductor,Key Account,R300,R,Medium,0.98,1590,2,CONT_05,Contamination,medium,Normal,0,TECH222,4.0,R300_ADD_OIL_MIST_FILTER_R_SERIES,SUP305,1,0,,7000,2025-07-12,2025-07-13,2025-07-16,2025-07-17,2025-07-22,2025-07-23,2025-08-09,4,4,5.7,0,0.0,0.61,27.39,1,600.06,34.45
RMA9500050,CUST10040,DACH,Vacuum Coating,Standard,LD50,LD,Low,6.05,6773,4,TEMP_03,Overheating,high,High,0,TECH215,8.0,LD50_ADD_FILTER_ELEMENT_LD_SERIES,SUP302,1,0,,9500,2024-02-01,2024-02-05,2024-02-06,2024-02-07,2024-02-15,2024-02-16,2024-02-20,4,1,7.25,0,0.0,1.34,15.73,0,308.26,43.7
RMA9500051,CUST10002,EMEA,Semiconductor,Standard,G200D,G,Medium,1.39,10103,0,VIB_02,Vibration,high,High,0,TECH221,3.0,G200D_ADD_BEARING_SET_G_SERIES,SUP300,0,0,,9000,2025-11-10,2025-11-11,2025-11-12,2025-11-14,2025-11-23,2025-11-25,2025-11-20,0,0,8.92,0,0.0,1.31,9.98,0,260.97,65.35
RMA9500052,CUST10105,DACH,Pharma,Standard,G100D,G,Medium,7.17,904,1,LEAK_01,Seal/Leak,medium,Normal,0,TECH207,5.0,G100D_ADD_FILTER_ELEMENT_G_SERIES,SUP301,1,0,,8000,2025-05-15,2025-05-19,2025-05-21,2025-05-22,2025-05-28,2025-05-30,2025-05-22,4,2,6.6,0,0.0,1.37,3.5,1,631.48,41.92
RMA9500053,CUST10136,DACH,Pharma,Standard,R300,R,Medium,5.24,2934,3,LEAK_01,Seal/Leak,medium,Normal,0,TECH215,8.0,R300_ADD_BEARING_SET_R_SERIES,SUP301,1,0,,7000,2024-02-03,2024-02-07,2024-02-10,2024-02-12,2024-02-18,2024-02-20,2024-02-08,4,1,6.63,0,0.0,1.4,1.26,0,600.06,49.55
RMA9500054,CUST10304,US,R&D,Standard,LD50,LD,Low,6.57,8932,4,PM_SCHED,Preventive maintenance,low,Normal,0,TECH225,5.0,LD50_KIT_O_RING_S_24,SUP301,1,1,PMKIT_LD50,9500,2025-10-22,2025-10-23,2025-10-26,2025-10-26,2025-10-28,2025-10-29,2025-10-27,2,1,1.75,0,0.0,1.23,4.07,0,534.8,10.18
RMA9500055,CUST10036,DACH,Pharma,Standard,G400D,G,High,3.13,11059,2,PM_SCHED,Preventive maintenance,low,Normal,0,TECH206,7.0,G400D_KIT_O_RING_V_160_1,SUP301,1,1,PMKIT_G400D,10000,2025-09-02,2025-09-05,2025-09-07,2025-09-09,2025-09-12,2025-09-13,2025-09-08,3,0,2.74,0,0.0,1.21,3.69,0,1932.21,18.01
RMA9500056,CUST10188,DACH,R&D,Standard,LD50,LD,Low,2.12,4174,1,CTRL_04,Control electronics,medium,Normal,0,TECH215,8.0,LD50_ADD_FILTER_ELEMENT_LD_SERIES,SUP302,1,0,,9500,2024-03-20,2024-03-21,2024-03-23,2024-03-23,2024-03-28,2024-03-29,2024-04-10,1,4,4.85,0,0.0,0.95,20.14,0,308.26,36.0
RMA9500057,CUST10215,DACH,Pharma,Key Account,T800,T,High,0.92,5750,3,VIB_02,Vibration,high,High,0,TECH223,7.0,T800_ADD_CORROSION_SEAL_SET_T_SERIES,SUP301,1,0,,6000,2025-02-04,2025-02-06,2025-02-09,2025-02-09,2025-02-19,2025-02-20,2025-02-15,1,0,9.18,0,0.0,1.01,9.97,1,1173.19,52.58
RMA9500058,CUST10227,DACH,Vacuum Coating,Standard,R600,R,High,5.82,5948,3,PM_SCHED,Preventive maintenance,low,Normal,0,TECH203,9.0,R600_KIT_OIL_LEVEL_GAUGE,SUP301,1,1,PMKIT_R600,8000,2024-09-06,2024-09-10,2024-09-11,2024-09-11,2024-09-14,2024-09-15,2024-09-13,1,1,2.51,0,0.0,0.98,3.71,0,2132.65,18.74
RMA9500059,CUST10101,APAC,Semiconductor,Standard,T1200,T,High,0.92,5142,4,CTRL_04,Control electronics,medium,Normal,0,TECH212,11.0,T1200_ADD_PRESSURE_SENSOR_T_SERIES_SPARE,SUP301,1,0,,6500,2024-05-11,2024-05-14,2024-05-16,2024-05-17,2024-05-26,2024-05-27,2024-05-28,3,0,8.34,0,0.0,0.98,14.18,1,1152.24,50.22
RMA9500060,CUST10179,US,Semiconductor,Key Account,R300,R,Medium,2.19,3325,0,VIB_02,Vibration,high,High,0,TECH205,6.0,R300_ADD_CORROSION_SEAL_SET_R_SERIES,SUP307,1,0,,7000,2024-10-23,2024-10-24,2024-10-27,2024-10-27,2024-11-05,2024-11-06,2024-11-03,1,4,8.93,0,0.0,0.6,10.03,0,370.85,66.59
RMA9500061,CUST10280,US,Vacuum Coating,Standard,LD50,LD,Low,2.96,3303,2,CTRL_04,Control electronics,medium,Normal,0,TECH202,4.0,LD50_ADD_BEARING_SET_LD_SERIES,SUP301,1,0,,9500,2025-12-11,2025-12-12,2025-12-15,2025-12-15,2025-12-19,2025-12-20,2026-01-03,1,1,4.22,0,0.0,1.27,22.44,0,308.26,25.35
RMA9500062,CUST10043,DACH,Semiconductor,Key Account,LD50,LD,Low,8.58,8785,0,PM_SCHED,Preventive maintenance,low,Normal,0,TECH214,4.0,LD50_KIT_O_RING_S_55,SUP301,1,1,PMKIT_LD50,9500,2025-08-22,2025-08-23,2025-08-24,2025-08-25,2025-08-27,2025-08-28,2025-08-26,1,1,2.01,0,0.0,0.84,3.42,0,534.8,13.79
RMA9500063,CUST10161,DACH,Aerospace,Standard,G100D,G,Medium,7.46,7938,0,PM_SCHED,Preventive maintenance,low,Normal,0,TECH224,9.0,G100D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES,SUP300,1,1,PMKIT_G100D,8000,2025-11-27,2025-11-30,2025-12-01,2025-12-03,2025-12-06,2025-12-07,2025-12-03,0,2,2.35,0,0.0,0.88,3.27,0,2370.67,16.81
RMA9500064,CUST10310,DACH,Pharma,Standard,R300,R,Medium,7.63,6765,3,PM_SCHED,Preventive maintenance,low,Normal,1,TECH225,5.0,R300_KIT_BEARING_SET_R_SERIES,SUP301,1,1,PMKIT_R300,7000,2024-04-07,2024-04-08,2024-04-09,2024-04-11,2024-04-14,2024-04-15,2024-04-12,1,1,2.51,0,0.0,1.33,4.09,0,2210.8,17.05
RMA9500065,CUST10242,DACH,Vacuum Coating,Standard,T1200,T,High,1.02,8053,3,VIB_02,Vibration,high,High,0,TECH217,4.0,T1200_ADD_ROTOR_BALANCING_WASHER_T_SERIES,SUP311,1,0,,6500,2025-02-28,2025-03-02,2025-03-05,2025-03-06,2025-03-18,2025-03-19,2025-03-12,4,4,11.89,0,0.0,1.07,10.64,0,400.82,77.26
